"year","month","TMEAN","TPPT","ndays_missing_ppt","n_days_missing_tmean"
"1925","12",26.7,1.2,0,0
"1926","01",19.5,0.5,0,0
"1926","02",28.7,0.5,0,0
"1926","03",35.6,0.1,0,0
"1926","04",49.4,0.5,0,0
"1926","05",52.8,0.5,0,0
"1926","06",62.2,0.1,0,1
"1926","07",65.5,0.2,0,2
"1926","08",62.6,0.7,0,4
"1926","09",47.2,0.2,0,6
"1926","10",45.8,0.1,0,0
"1926","11",34.9,1.3,0,0
"1926","12",21.7,1,0,6
"1927","01",20.5,0.3,0,0
"1927","02",23.9,0.6,0,0
"1927","03",30.8,0.4,0,0
"1927","04",41.2,0.4,0,0
"1927","05",47.8,2.6,0,0
"1927","06",61.1,0.9,0,0
"1927","07",69.1,0.4,0,0
"1927","08",64.4,0.8,0,0
"1927","09",55.5,1.6,0,0
"1927","10",47,1.3,0,0
"1927","11",36.5,0.6,0,0
"1927","12",17.7,0,0,1
"1928","01",23.1,0.2,0,0
"1928","02",24.7,0.3,0,0
"1928","03",35.4,0.1,0,0
"1928","04",39.8,0.2,0,0
"1928","05",57,1.1,0,0
"1928","06",56.3,1.6,0,0
"1928","07",69.4,0.7,0,3
"1928","08",64.7,0.4,0,0
"1928","09",56.6,0.6,0,0
"1928","10",37.3,0.5,0,3
"1928","11",31.7,0.9,0,5
"1928","12",18.6,0.7,0,0
"1929","01",11.8,0.4,0,0
"1929","02",13.4,1,1,0
"1929","03",26.5,0.9,0,0
"1929","04",32.6,1.9,0,0
"1929","05",46.8,0.5,0,0
"1929","06",55.9,1.3,0,2
"1929","07",67,0.9,0,3
"1929","08",66.7,0.6,0,0
"1929","09",49.2,1,0,0
"1929","10",42.7,0.7,0,2
"1929","11",24.1,0.2,0,1
"1929","12",25.5,0.4,0,0
"1930","01",11.1,0.3,0,0
"1930","02",28.7,0.8,0,1
"1930","03",32,0.1,0,0
"1930","04",49.9,0.9,0,0
"1930","05",51.9,1.4,0,0
"1930","06",59.9,1,0,0
"1930","07",72.2,0.2,0,0
"1930","08",67.9,2.6,0,0
"1930","09",57.2,2,0,0
"1930","10",43.1,2.3,0,1
"1930","11",28.6,1.2,0,0
"1930","12",17,0.2,0,0
"1931","01",20.3,0.6,0,0
"1931","02",24.2,0.4,0,0
"1931","03",27.3,0.6,0,1
"1931","04",43.3,0,0,0
"1931","05",56.9,1.1,0,0
"1931","06",64.8,0.3,0,0
"1931","07",73.3,0.7,0,3
"1931","08",68.9,0.7,0,2
"1931","09",57.9,0.8,0,0
"1931","10",46.7,0.1,0,0
"1931","11",27.8,0.7,0,0
"1931","12",20,2.5,0,6
"1932","01",11.8,0.8,0,2
"1932","02",18.7,0.5,0,0
"1932","03",24,0.2,0,0
"1932","04",40.2,0.9,0,0
"1932","05",52,0.7,0,0
"1932","06",59.1,2,0,0
"1932","07",66.6,2.5,0,0
"1932","08",66.8,1.3,0,0
"1932","09",59.1,0,0,0
"1932","10",41.7,0.3,0,0
"1932","11",33.5,0.4,0,0
"1932","12",13.5,0.5,0,0
"1933","01",16.9,1.9,0,0
"1933","02",9.6,0.4,0,0
"1933","03",28.8,0.3,0,0
"1933","04",40.3,0.9,0,0
"1933","05",47,2.1,0,0
"1933","06",65.4,0.3,0,0
"1933","07",72.9,0.1,0,0
"1933","08",67,1,0,0
"1933","09",56.7,0.5,0,0
"1933","10",49.8,0.4,0,0
"1933","11",34,0.3,0,0
"1933","12",28.1,0.9,0,0
"1934","01",26.5,0.6,0,0
"1934","02",34.2,0.4,0,0
"1934","03",44.8,0.2,0,0
"1934","04",52.2,0.3,0,0
"1934","05",60.8,0.4,0,0
"1934","06",60.8,2.2,0,0
"1934","07",72.5,0,0,0
"1934","08",71.6,0.1,0,0
"1934","09",53.9,0.4,0,0
"1934","10",50.1,1.5,0,0
"1934","11",36.8,1.5,0,0
"1934","12",22.9,0.7,0,0
"1935","01",22.3,1.2,0,0
"1935","02",24.1,0.3,0,0
"1935","03",27.7,0.9,0,0
"1935","04",39.9,1.8,0,0
"1935","05",49.2,0.8,0,0
"1935","06",61.5,0.1,0,0
"1935","07",69.9,0.7,0,8
"1935","08",68.3,0.3,0,2
"1935","09",61.2,0.2,0,0
"1935","10",45.9,1.5,0,0
"1935","11",25.1,0.4,0,0
"1935","12",23.7,0.9,0,0
"1936","01",18.5,1.2,0,0
"1936","02",17.7,0.2,0,0
"1936","03",27.2,0,0,0
"1936","04",42.9,0.6,0,0
"1936","05",57.6,0.8,0,0
"1936","06",62.8,1.9,0,0
"1936","07",71.7,0.9,0,0
"1936","08",67.5,1.3,0,0
"1936","09",56.4,0.6,0,0
"1936","10",47,0.2,0,0
"1936","11",31.4,0.1,0,0
"1936","12",23.6,1,0,0
"1937","01",3,0.9,0,0
"1937","02",16.7,0.8,0,0
"1937","03",27.7,0.7,0,0
"1937","04",39,0.7,0,1
"1937","05",54.3,0.4,0,0
"1937","06",58,1.5,0,0
"1937","07",69.8,0.8,0,0
"1937","08",67.2,0.2,0,0
"1937","09",59.9,0.4,0,1
"1937","10",48.3,0.5,0,2
"1937","11",32.5,0.5,0,0
"1937","12",24.4,1.4,0,0
"1938","01",20.6,0.7,0,0
"1938","02",23.3,1.4,0,0
"1938","03",28.1,2.6,0,0
"1938","04",40.9,0.6,0,0
"1938","05",49,1.1,0,0
"1938","06",60.7,1.4,0,0
"1938","07",65.5,2.2,0,0
"1938","08",65.2,0.7,0,0
"1938","09",63.2,0.1,0,0
"1938","10",46.1,3.7,0,0
"1938","11",24.7,0.4,0,0
"1938","12",23.9,0.1,0,0
"1939","01",18.8,0.9,0,0
"1939","02",13.1,0.8,2,0
"1939","03",31,0.4,0,0
"1939","04",45,0.7,0,0
"1939","05",54.3,0.6,0,0
"1939","06",56.2,0.8,0,0
"1939","07",69.8,0.6,0,0
"1939","08",68.2,0.2,0,0
"1939","09",57.7,1.2,0,0
"1939","10",44.4,1.2,0,0
"1939","11",38,0,0,0
"1939","12",28.3,0.4,0,0
"1940","01",20.3,1,0,0
"1940","02",24.8,1.5,0,0
"1940","03",33,1.3,0,0
"1940","04",43.2,1.5,0,0
"1940","05",55.6,0.3,0,0
"1940","06",64.4,1.2,0,0
"1940","07",70.2,1,0,0
"1940","08",70.6,0.8,0,1
"1940","09",57.3,3.9,0,0
"1940","10",47.5,1.3,0,0
"1940","11",27.7,0.9,0,0
"1940","12",25.2,1.1,0,0
"1941","01",22.5,1.5,0,0
"1941","02",26,0.3,0,0
"1941","03",33,0.5,0,0
"1941","04",42.5,1.7,0,0
"1941","05",51.7,1,0,0
"1941","06",57.9,1.8,0,0
"1941","07",68.3,0.9,0,0
"1941","08",64.6,1.8,0,0
"1941","09",50.2,0.9,0,0
"1941","10",43.5,1,0,0
"1941","11",33.2,0.4,0,0
"1941","12",25.6,1.7,0,0
"1942","01",18.6,1.4,0,0
"1942","02",16.3,0.6,0,0
"1942","03",25.2,0.3,0,0
"1942","04",43.9,0.8,0,0
"1942","05",46.5,2,0,0
"1942","06",56.9,0.9,0,0
"1942","07",71,0.3,0,0
"1942","08",68.6,0,0,0
"1942","09",57.8,0.4,0,0
"1942","10",45.6,0.5,0,0
"1942","11",30.3,1,0,0
"1942","12",20.9,1.3,0,0
"1943","01",16.2,1.5,0,0
"1943","02",22.3,0.8,0,0
"1943","03",22.9,0.2,0,0
"1943","04",47.8,0.6,0,0
"1943","05",48.6,1.5,0,0
"1943","06",55.1,1.6,0,0
"1943","07",68.9,0.3,0,0
"1943","08",67.2,0.3,0,0
"1943","09",61.1,0.1,0,0
"1943","10",48.3,1.6,0,0
"1943","11",34.4,0.4,0,0
"1943","12",26.4,0.4,0,0
"1944","01",17.5,0.6,0,0
"1944","02",21.7,1,0,0
"1944","03",23.4,0.6,0,0
"1944","04",41,1.1,0,0
"1944","05",52.5,1.8,0,0
"1944","06",54.7,8.3,0,0
"1944","07",64.7,0.6,0,0
"1944","08",64.6,0.1,0,0
"1944","09",57.4,0.7,0,0
"1944","10",51.1,0.5,0,0
"1944","11",27.4,2.1,0,0
"1944","12",20,0.3,0,0
"1945","01",20.3,0.5,0,0
"1945","02",NA,1.4,0,28
"1945","03",26.3,0.5,0,0
"1945","04",36.4,0.4,0,0
"1945","05",50.5,2.6,0,0
"1945","06",53.5,3.4,0,0
"1945","07",69.1,0.1,0,0
"1945","08",66.3,3.5,0,0
"1945","09",52.7,1.4,0,0
"1945","10",48.2,0,0,0
"1945","11",28,0.9,0,0
"1945","12",18.5,1,0,0
"1946","01",16.4,0.4,0,0
"1946","02",18.7,0.9,0,0
"1946","03",30.3,1.6,0,0
"1946","04",46.2,0.2,0,0
"1946","05",50.5,2.2,0,0
"1946","06",60.4,0.9,0,0
"1946","07",70.1,0.5,0,0
"1946","08",69.3,0.2,0,0
"1946","09",56.9,0.5,0,0
"1946","10",38,1.1,0,0
"1946","11",30.7,2.4,0,0
"1946","12",27,1.1,0,0
"1947","01",13.9,0.3,0,0
"1947","02",25.1,0.2,0,0
"1947","03",35.8,0.4,0,0
"1947","04",41.3,1.2,0,0
"1947","05",55.4,1.1,0,0
"1947","06",55.6,2.3,0,0
"1947","07",70.4,0.6,0,0
"1947","08",67.1,0.2,0,1
"1947","09",58.1,1.6,0,0
"1947","10",49,0.7,0,0
"1947","11",25.9,0.9,0,0
"1947","12",22,0.3,0,0
"1948","01",19.2,0.1,0,0
"1948","02",22.6,0.4,0,0
"1948","03",25.4,1.1,0,0
"1948","04",41.4,0.6,0,0
"1948","05",51.8,1.8,0,0
"1948","06",61.9,2.9,0,0
"1948","07",67.8,0.2,0,0
"1948","08",67.1,0.9,0,1
"1948","09",59.2,0.9,0,0
"1948","10",47.6,0.2,0,0
"1948","11",25.4,0.6,0,0
"1948","12",15.2,1,0,0
"1949","01",7,0.9,0,0
"1949","02",16.5,1,0,0
"1949","03",32.5,0.2,0,0
"1949","04",48,0.4,0,0
"1949","05",54.1,3,0,0
"1949","06",59,1.7,0,0
"1949","07",69.1,0.8,0,0
"1949","08",70.2,0.4,0,0
"1949","09",59.7,0.4,2,0
"1949","10",39.1,1.2,0,0
"1949","11",38.1,0.8,0,0
"1949","12",19.5,0.7,0,0
"1950","01",12.5,0.9,0,0
"1950","02",23.4,0.7,0,0
"1950","03",27.2,1.2,0,0
"1950","04",40.6,0.6,0,0
"1950","05",47.9,0.6,0,0
"1950","06",58.2,2.1,0,0
"1950","07",66.1,0.4,0,0
"1950","08",66,0.7,0,0
"1950","09",56,2.1,0,1
"1950","10",48.4,0.7,0,0
"1950","11",33.8,0.1,0,0
"1950","12",27.4,0.9,0,0
"1951","01",16.1,0.4,0,1
"1951","02",22.9,0.5,0,0
"1951","03",24,0.2,0,0
"1951","04",43.7,0.7,0,0
"1951","05",52.5,1.2,0,0
"1951","06",55.2,0.4,0,0
"1951","07",69.1,1.3,0,0
"1951","08",64,2.2,0,0
"1951","09",57.4,0,0,0
"1951","10",41.9,1.3,0,0
"1951","11",29.1,0.3,0,0
"1951","12",15.3,1.4,0,0
"1952","01",15.2,1.2,0,0
"1952","02",16.1,1.5,0,0
"1952","03",22.3,1.2,0,0
"1952","04",40.9,0.2,0,0
"1952","05",53.2,0.8,0,0
"1952","06",60.6,1.8,0,0
"1952","07",65.9,0.6,0,0
"1952","08",67.2,1.4,0,0
"1952","09",61.1,0.1,0,0
"1952","10",50.1,0,0,0
"1952","11",25.7,0.9,0,0
"1952","12",22.4,1.2,0,0
"1953","01",27.2,0.6,0,0
"1953","02",22.1,0.6,0,0
"1953","03",31,0.3,0,0
"1953","04",38.4,1.1,0,0
"1953","05",46.4,2,0,0
"1953","06",56.9,2.2,0,0
"1953","07",71.6,0.3,0,0
"1953","08",67.8,0.1,0,0
"1953","09",61.4,0.1,0,0
"1953","10",49.4,0.2,0,0
"1953","11",37.3,0.3,0,0
"1953","12",19.9,0.7,0,0
"1954","01",22.4,0.2,0,0
"1954","02",30.1,0.6,0,0
"1954","03",28.7,1.2,0,0
"1954","04",44.4,0.9,0,0
"1954","05",54,0.8,0,0
"1954","06",56.6,2.4,0,0
"1954","07",71.6,0.4,0,0
"1954","08",65.9,0.7,0,0
"1954","09",58.4,0.4,0,0
"1954","10",44.7,0,0,0
"1954","11",38,1,0,0
"1954","12",21.2,0.6,0,0
"1955","01",12.2,0.8,0,0
"1955","02",15.8,0.6,0,0
"1955","03",20.1,0.2,0,0
"1955","04",36.2,0.7,0,0
"1955","05",50.3,1.8,0,0
"1955","06",57.6,1.9,0,0
"1955","07",67.3,0.6,0,0
"1955","08",69.7,1.2,0,0
"1955","09",58,0.2,0,0
"1955","10",46.2,0.5,0,0
"1955","11",26.1,0.7,0,0
"1955","12",24,2,0,0
"1956","01",24.6,1.5,0,0
"1956","02",14.4,0.4,0,0
"1956","03",27.7,0.1,0,0
"1956","04",44.1,1.8,0,0
"1956","05",54.4,0.7,0,0
"1956","06",62.7,0.9,0,0
"1956","07",70.2,0.6,0,0
"1956","08",65.6,0.1,0,0
"1956","09",58.1,0.5,0,0
"1956","10",44.3,2.1,0,0
"1956","11",27.6,0.4,0,0
"1956","12",21.9,0.2,0,0
"1957","01",12.6,0.8,0,0
"1957","02",25.1,0.5,0,0
"1957","03",31.8,1.2,0,0
"1957","04",40.8,1,0,0
"1957","05",52.2,4.9,0,0
"1957","06",58.7,1.2,0,0
"1957","07",68.8,0.5,0,0
"1957","08",67.6,1.1,0,0
"1957","09",58.2,0.1,0,0
"1957","10",45.3,0.9,0,0
"1957","11",26.6,0.6,0,0
"1957","12",23.5,0.8,0,0
"1958","01",22.1,0.4,0,0
"1958","02",30,1.2,0,1
"1958","03",28,1.3,4,0
"1958","04",38.9,0.8,0,0
"1958","05",58.6,0.8,0,0
"1958","06",62,1.8,0,0
"1958","07",66.9,1.4,0,0
"1958","08",70.5,0.2,0,0
"1958","09",58.1,1.2,0,0
"1958","10",48.9,0,0,0
"1958","11",30.9,0.1,0,0
"1958","12",26.1,0.4,2,0
"1959","01",21.4,0.9,0,0
"1959","02",23,2.3,2,0
"1959","03",27.6,0.2,0,0
"1959","04",43.2,0.2,0,0
"1959","05",46.4,2.7,0,0
"1959","06",61.4,2.9,0,0
"1959","07",68.4,0.3,0,0
"1959","08",66,0.6,0,0
"1959","09",54.7,1.1,0,0
"1959","10",44.7,0.3,0,0
"1959","11",28.1,0.1,0,0
"1959","12",24.1,1.4,0,0
"1960","01",16.3,1,0,0
"1960","02",15.2,0.9,0,0
"1960","03",28.8,0.7,0,0
"1960","04",43.1,0.8,0,0
"1960","05",48.3,1,0,0
"1960","06",62.4,0.8,0,0
"1960","07",72.6,0.1,0,0
"1960","08",65,0.7,0,0
"1960","09",60.2,0.3,0,0
"1960","10",44.6,1.1,0,0
"1960","11",30.9,1.6,0,0
"1960","12",22.1,0.5,0,0
"1961","01",22.9,0.2,0,0
"1961","02",28.1,1.3,0,0
"1961","03",31.7,1.1,0,0
"1961","04",40.3,0.4,0,0
"1961","05",51.8,1.6,0,0
"1961","06",66.4,1.1,0,0
"1961","07",71.6,0.4,0,6
"1961","08",68,0.8,0,10
"1961","09",50.1,2.4,0,0
"1961","10",41.9,2,0,0
"1961","11",29.6,0.8,0,0
"1961","12",17.3,0.8,0,0
"1962","01",11.6,0.4,0,0
"1962","02",23.1,2,0,0
"1962","03",24.9,0.8,0,0
"1962","04",44.5,0.4,0,0
"1962","05",50.2,3.7,0,0
"1962","06",58.7,1.5,0,0
"1962","07",65.8,2.3,0,0
"1962","08",63.7,1,0,0
"1962","09",58.6,0.6,0,0
"1962","10",49.5,0.1,0,0
"1962","11",35.4,0.5,0,0
"1962","12",25.8,0.3,0,0
"1963","01",11.6,0.3,0,0
"1963","02",33.4,0.4,0,0
"1963","03",33.8,0.4,0,0
"1963","04",38.9,1.9,0,0
"1963","05",52.9,1.9,0,0
"1963","06",56.1,2.8,0,0
"1963","07",68.4,0.8,0,0
"1963","08",68.5,0.3,1,0
"1963","09",61,2.1,0,0
"1963","10",51,0.4,0,0
"1963","11",31.9,1.7,0,0
"1963","12",18,0.4,0,1
"1964","01",14.1,0.4,0,0
"1964","02",13.8,0.2,0,0
"1964","03",20,0.6,0,0
"1964","04",38,1.4,0,0
"1964","05",49.9,2.5,0,0
"1964","06",54.7,3.5,0,0
"1964","07",69.8,0.7,0,0
"1964","08",64.5,1.1,0,0
"1964","09",55.3,0,0,0
"1964","10",47.7,1.2,0,0
"1964","11",30,1,0,0
"1964","12",20.9,1.6,0,2
"1965","01",21.4,0.9,0,1
"1965","02",21.5,0,0,0
"1965","03",23.9,0,0,0
"1965","04",43,2.4,0,0
"1965","05",48.4,0.3,0,0
"1965","06",57.6,2.7,0,0
"1965","07",66,1,0,0
"1965","08",64.6,2.4,0,0
"1965","09",49.7,0.2,0,0
"1965","10",49.4,0.1,0,0
"1965","11",36.9,1.4,0,0
"1965","12",24.7,0.6,0,0
"1966","01",21.3,0.3,0,0
"1966","02",21.4,0.4,0,0
"1966","03",31.9,0.2,0,0
"1966","04",41.6,0.7,0,0
"1966","05",55.7,0.7,0,0
"1966","06",60.5,0.9,0,0
"1966","07",71.4,0.5,0,0
"1966","08",66.8,0.2,0,0
"1966","09",61.2,1.8,0,0
"1966","10",43.1,0.4,0,0
"1966","11",33.3,0.2,0,0
"1966","12",21.6,2,0,0
"1967","01",22.2,1.1,0,0
"1967","02",22.9,0.1,0,0
"1967","03",30.2,1,0,0
"1967","04",37.9,1.6,0,0
"1967","05",51.4,1.8,0,0
"1967","06",56.9,4,0,0
"1967","07",68.2,2.6,0,0
"1967","08",70.5,0.3,0,0
"1967","09",62.1,0.1,0,0
"1967","10",44.9,0.7,0,0
"1967","11",32.3,0.9,0,0
"1967","12",15.6,0.5,0,0
"1968","01",18.2,0.5,0,0
"1968","02",27.8,0.2,0,0
"1968","03",35.9,0.6,0,0
"1968","04",39.1,0.2,0,0
"1968","05",48.7,3,0,0
"1968","06",58.2,2.5,0,0
"1968","07",69.2,0.2,0,0
"1968","08",61,3.3,0,0
"1968","09",54.8,0.7,0,0
"1968","10",44.3,1,0,0
"1968","11",28.2,1.9,0,0
"1968","12",18.6,0.8,3,0
"1969","01",20,2.7,0,0
"1969","02",22.5,1.8,0,0
"1969","03",24,0.3,0,0
"1969","04",42.8,0.4,0,0
"1969","05",56.1,0.8,0,0
"1969","06",57.5,3,0,0
"1969","07",68,0.3,0,0
"1969","08",70,0,0,0
"1969","09",59.6,0.6,0,0
"1969","10",40.2,0.3,0,0
"1969","11",32.3,1.5,0,0
"1969","12",25.3,1,0,0
"1970","01",22,0.8,0,0
"1970","02",29.6,0,0,0
"1970","03",29.5,0.9,0,0
"1970","04",35.2,0.9,0,0
"1970","05",50.9,1.7,0,0
"1970","06",60.4,2.7,0,0
"1970","07",67.5,0.8,0,0
"1970","08",69.8,0.3,0,0
"1970","09",51.3,1.3,0,0
"1970","10",39.6,0.9,0,0
"1970","11",31.8,2.6,0,0
"1970","12",18.9,1.1,0,0
"1971","01",18.1,0.5,0,0
